time,delta_freq,event,power,f0
0,0.0702962,0,150,50
0.3,0.0703885,0,150,50
0.6,0.0730375,0,150,50
0.9,0.0751213,0,150,50
1.2,0.0758733,0,150,50
1.5,0.0765785,0,150,50
1.8,0.0777097,0,150,50
2.1,0.0778332,0,150,50
2.4,0.0766503,0,150,50
2.7,0.0761363,0,150,50
3,0.0760572,0,150,50
3.3,0.0750988,0,150,50
3.6,0.071267,0,150,50
3.9,0.0681368,0,150,50
4.2,0.066238,0,150,50
4.5,0.06508,0,150,50
4.8,0.0629787,0,150,50
5.1,0.06332,0,150,50
5.4,0.065586,0,150,50
5.7,0.0644447,0,150,50
6,0.06171,0,150,50
6.3,0.0617108,0,150,50
6.6,0.0585922,0,150,50
6.9,0.055548,0,150,50
7.2,0.0539065,0,150,50
7.5,0.0527607,0,150,50
7.8,0.051685,0,150,50
8.1,0.0472998,0,150,50
8.4,0.0452575,0,150,50
8.7,0.0453582,0,150,50
9,0.0455112,0,150,50
9.3,0.0441005,0,150,50
9.6,0.042314,0,150,50
9.9,0.0418777,0,150,50
10.2,0.041071,0,150,50
10.5,0.0400647,0,150,50
10.8,0.0402677,0,150,50
11.1,0.0407522,0,150,50
11.4,0.0382318,0,150,50
11.7,0.0387,0,150,50
12,0.0393045,0,150,50
12.3,0.0387895,0,150,50
12.6,0.0388375,0,150,50
12.9,0.0380933,0,150,50
13.2,0.0401573,0,150,50
13.5,0.0402205,0,150,50
13.8,0.0409577,0,150,50
14.1,0.040511,0,150,50
14.4,0.0400823,0,150,50
14.7,0.038542,0,150,50
15,0.038376,0,150,50
15.3,0.038595,0,150,50
15.6,0.0404968,0,150,50
15.9,0.0391353,0,150,50
16.2,0.0384415,0,150,50
16.5,0.0375187,0,150,50
16.8,0.037791,0,150,50
17.1,0.0372893,0,150,50
17.4,0.0354468,0,150,50
17.7,0.03266,0,150,50
18,0.0342605,0,150,50
18.3,0.032862,0,150,50
18.6,0.0335068,0,150,50
18.9,0.0326857,0,150,50
19.2,0.0336067,0,150,50
19.5,0.0310663,0,150,50
19.8,0.0291935,0,150,50
20.1,0.029636,0,150,50
20.4,0.029457,0,150,50
20.7,0.0282668,0,150,50
21,0.0270822,0,150,50
21.3,0.0265022,0,150,50
21.6,0.0239765,0,150,50
21.9,0.0228465,0,150,50
22.2,0.0224263,0,150,50
22.5,0.0238873,0,150,50
22.8,0.0233285,0,150,50
23.1,0.019785,0,150,50
23.4,0.018745,0,150,50
23.7,0.0181205,0,150,50
24,0.0192752,0,150,50
24.3,0.018109,0,150,50
24.6,0.017714,0,150,50
24.9,0.0169465,0,150,50
25.2,0.0165825,0,150,50
25.5,0.0150048,0,150,50
25.8,0.0181337,0,150,50
26.1,0.0191432,0,150,50
26.4,0.017453,0,150,50
26.7,0.016621,0,150,50
27,0.0151513,0,150,50
27.3,0.0153477,0,150,50
27.6,0.0167095,0,150,50
27.9,0.0171943,0,150,50
28.2,0.0202965,0,150,50
28.5,0.0229663,0,150,50
28.8,0.0238838,0,150,50
29.1,0.0238657,0,150,50
29.4,0.0238088,0,150,50
29.7,0.0259152,0,150,50
30,0.0268653,0,150,50
30.3,0.0271735,0,150,50
30.6,0.0297477,0,150,50
30.9,0.031596,0,150,50
31.2,0.0320635,0,150,50
31.5,0.033092,0,150,50
31.8,0.0338517,0,150,50
32.1,0.0344493,0,150,50
32.4,0.0337088,0,150,50
32.7,0.0351128,0,150,50
33,0.0394427,0,150,50
33.3,0.0401608,0,150,50
33.6,0.039248,0,150,50
33.9,0.0383707,0,150,50
34.2,0.0409078,0,150,50
34.5,0.0419495,0,150,50
34.8,0.043264,0,150,50
35.1,0.0424278,0,150,50
35.4,0.0400583,0,150,50
35.7,0.035504,0,150,50
36,0.0340682,0,150,50
36.3,0.0345035,0,150,50
36.6,0.034015,0,150,50
36.9,0.03223,0,150,50
37.2,0.0285273,0,150,50
37.5,0.0266382,0,150,50
37.8,0.0266097,0,150,50
38.1,0.024584,0,150,50
38.4,0.0214638,0,150,50
38.7,0.0218185,0,150,50
39,0.0195505,0,150,50
39.3,0.0169075,0,150,50
39.6,0.0138705,0,150,50
39.9,0.0137515,0,150,50
40.2,0.0117573,0,150,50
40.5,0.010227,0,150,50
40.8,0.010695,0,150,50
41.1,0.011544,0,150,50
41.4,0.0097605,0,150,50
41.7,0.00833575,0,150,50
42,0.0104633,0,150,50
42.3,0.00857425,0,150,50
42.6,0.0071365,0,150,50
42.9,0.00639525,0,150,50
43.2,0.007993,0,150,50
43.5,0.00866025,0,150,50
43.8,0.00807325,0,150,50
44.1,0.0083255,0,150,50
44.4,0.0071655,0,150,50
44.7,0.00704425,0,150,50
45,0.00565575,0,150,50
45.3,0.00538025,0,150,50
45.6,0.00658675,0,150,50
45.9,0.007834,0,150,50
46.2,0.006976,0,150,50
46.5,0.0076475,0,150,50
46.8,0.0079255,0,150,50
47.1,0.00777675,0,150,50
47.4,0.00810775,0,150,50
47.7,0.008773,0,150,50
48,0.0118333,0,150,50
48.3,0.0135687,0,150,50
48.6,0.0142318,0,150,50
48.9,0.0141745,0,150,50
49.2,0.01593,0,150,50
49.5,0.0169805,0,150,50
49.8,0.0184875,0,150,50
50.1,0.0197232,0,150,50
50.4,0.0187695,0,150,50
50.7,0.019123,0,150,50
51,0.0203305,0,150,50
51.3,0.021289,0,150,50
51.6,0.0228968,0,150,50
51.9,0.024117,0,150,50
52.2,0.024845,0,150,50
52.5,0.0260685,1,150,50
52.8,0.0277873,1,150,50
53.1,0.021848,1,150,50
53.4,0.00068325,1,150,50
53.7,-0.0290198,1,150,50
54,-0.059319,1,150,50
54.3,-0.079194,1,150,50
54.6,-0.0871328,1,150,50
54.9,-0.0908772,1,150,50
55.2,-0.101386,1,150,50
55.5,-0.118055,1,150,50
55.8,-0.134509,1,150,50
56.1,-0.146015,1,150,50
56.4,-0.153064,1,150,50
56.7,-0.160071,1,150,50
57,-0.169413,1,150,50
57.3,-0.180566,1,150,50
57.6,-0.188116,1,150,50
57.9,-0.194329,1,150,50
58.2,-0.19819,1,150,50
58.5,-0.200558,1,150,50
58.8,-0.202308,1,150,50
59.1,-0.207349,1,150,50
59.4,-0.209528,1,150,50
59.7,-0.209932,1,150,50
60,-0.210304,1,150,50
60.3,-0.210708,1,150,50
60.6,-0.209997,1,150,50
60.9,-0.20691,1,150,50
61.2,-0.205364,1,150,50
61.5,-0.202679,1,150,50
61.8,-0.198247,1,150,50
62.1,-0.19383,1,150,50
62.4,-0.193682,1,150,50
62.7,-0.190953,1,150,50
63,-0.184936,1,150,50
63.3,-0.179288,1,150,50
63.6,-0.176571,1,150,50
63.9,-0.173798,1,150,50
64.2,-0.168422,1,150,50
64.5,-0.168438,1,150,50
64.8,-0.167524,1,150,50
65.1,-0.164168,1,150,50
65.4,-0.161426,1,150,50
65.7,-0.159301,1,150,50
66,-0.155881,1,150,50
66.3,-0.151941,1,150,50
66.6,-0.14992,1,150,50
66.9,-0.148074,1,150,50
67.2,-0.147404,1,150,50
67.5,-0.146208,1,150,50
67.8,-0.145947,1,150,50
68.1,-0.147519,1,150,50
68.4,-0.148218,1,150,50
68.7,-0.151343,1,150,50
69,-0.150727,1,150,50
69.3,-0.15279,1,150,50
69.6,-0.156233,1,150,50
69.9,-0.159467,1,150,50
70.2,-0.161586,1,150,50
70.5,-0.165905,1,150,50
70.8,-0.167155,1,150,50
71.1,-0.167051,1,150,50
71.4,-0.167491,1,150,50
71.7,-0.170045,1,150,50
72,-0.172143,1,150,50
72.3,-0.173117,1,150,50
72.6,-0.172705,1,150,50
72.9,-0.174283,1,150,50
73.2,-0.175971,1,150,50
73.5,-0.176723,1,150,50
73.8,-0.177164,1,150,50
74.1,-0.179618,1,150,50
74.4,-0.179097,1,150,50
74.7,-0.177814,1,150,50
75,-0.177405,1,150,50
75.3,-0.177933,1,150,50
75.6,-0.178141,1,150,50
75.9,-0.176461,1,150,50
76.2,-0.174615,1,150,50
76.5,-0.171794,1,150,50
76.8,-0.168807,1,150,50
77.1,-0.16897,1,150,50
77.4,-0.169321,1,150,50
77.7,-0.169735,1,150,50
78,-0.166558,1,150,50
78.3,-0.162751,1,150,50
78.6,-0.161637,1,150,50
78.9,-0.163218,1,150,50
79.2,-0.16189,1,150,50
79.5,-0.16168,1,150,50
79.8,-0.157608,1,150,50
80.1,-0.158703,1,150,50
80.4,-0.15677,1,150,50
80.7,-0.157621,1,150,50
81,-0.16281,1,150,50
81.3,-0.16267,1,150,50
81.6,-0.160114,1,150,50
81.9,-0.159525,1,150,50
82.2,-0.163906,1,150,50
82.5,-0.166638,0,150,50
82.8,-0.165047,0,150,50
83.1,-0.164184,0,150,50
83.4,-0.166711,0,150,50
83.7,-0.165364,0,150,50
84,-0.163074,0,150,50
