index,time,delta_freq,event,power,f0
0,0,0.036988,0,315,50
15,0.3,0.039619,0,315,50
30,0.6,0.0412318,0,315,50
45,0.9,0.0441758,0,315,50
60,1.2,0.045838,0,315,50
75,1.5,0.0484605,0,315,50
90,1.8,0.0513408,0,315,50
105,2.1,0.0543403,0,315,50
120,2.4,0.057013,0,315,50
135,2.7,0.0596963,0,315,50
150,3,0.0597595,0,315,50
165,3.3,0.0608838,0,315,50
180,3.6,0.0628798,0,315,50
195,3.9,0.0620745,0,315,50
210,4.2,0.0616005,0,315,50
225,4.5,0.0624637,0,315,50
240,4.8,0.0620493,0,315,50
255,5.1,0.0617258,0,315,50
270,5.4,0.061013,0,315,50
285,5.7,0.0607148,0,315,50
300,6,0.0636157,0,315,50
315,6.3,0.0630363,0,315,50
330,6.6,0.0637608,0,315,50
345,6.9,0.0640142,0,315,50
360,7.2,0.0638865,0,315,50
375,7.5,0.064886,0,315,50
390,7.8,0.0653868,0,315,50
405,8.1,0.0663235,0,315,50
420,8.4,0.067646,0,315,50
435,8.7,0.0685265,0,315,50
450,9,0.0681202,0,315,50
465,9.3,0.0695273,0,315,50
480,9.6,0.072007,0,315,50
495,9.9,0.0720722,0,315,50
510,10.2,0.0734065,0,315,50
525,10.5,0.072522,0,315,50
540,10.8,0.073742,0,315,50
555,11.1,0.0767582,0,315,50
570,11.4,0.0759455,0,315,50
585,11.7,0.0785195,0,315,50
600,12,0.0790978,0,315,50
615,12.3,0.0794122,0,315,50
630,12.6,0.0793102,0,315,50
645,12.9,0.0807458,0,315,50
660,13.2,0.0814322,0,315,50
675,13.5,0.0819115,0,315,50
690,13.8,0.0808105,0,315,50
705,14.1,0.0792325,0,315,50
720,14.4,0.0794213,0,315,50
735,14.7,0.0781353,0,315,50
750,15,0.07711,0,315,50
765,15.3,0.0769495,0,315,50
780,15.6,0.0775852,0,315,50
795,15.9,0.0771437,0,315,50
810,16.2,0.0743202,0,315,50
825,16.5,0.0739503,0,315,50
840,16.8,0.0724758,0,315,50
855,17.1,0.071602,0,315,50
870,17.4,0.0707465,0,315,50
885,17.7,0.0688022,0,315,50
900,18,0.0692983,0,315,50
915,18.3,0.0673508,0,315,50
930,18.6,0.0678153,0,315,50
945,18.9,0.0684925,0,315,50
960,19.2,0.067479,0,315,50
975,19.5,0.0676275,0,315,50
990,19.8,0.066382,0,315,50
1005,20.1,0.0651958,0,315,50
1020,20.4,0.0647533,0,315,50
1035,20.7,0.0655802,0,315,50
1050,21,0.0632588,0,315,50
1065,21.3,0.0629172,0,315,50
1080,21.6,0.061754,0,315,50
1095,21.9,0.0611828,0,315,50
1110,22.2,0.0610317,0,315,50
1125,22.5,0.0614688,0,315,50
1140,22.8,0.061851,0,315,50
1155,23.1,0.0594098,0,315,50
1170,23.4,0.0580067,0,315,50
1185,23.7,0.0570615,0,315,50
1200,24,0.0570058,0,315,50
1215,24.3,0.0573675,0,315,50
1230,24.6,0.0556835,0,315,50
1245,24.9,0.0566708,0,315,50
1260,25.2,0.0553415,0,315,50
1275,25.5,0.052961,0,315,50
1290,25.8,0.0507332,0,315,50
1305,26.1,0.0483695,0,315,50
1320,26.4,0.0467517,0,315,50
1335,26.7,0.0432712,0,315,50
1350,27,0.0424662,0,315,50
1365,27.3,0.0402925,0,315,50
1380,27.6,0.0404073,0,315,50
1395,27.9,0.040168,0,315,50
1410,28.2,0.0389765,0,315,50
1425,28.5,0.0377425,0,315,50
1440,28.8,0.0382157,0,315,50
1455,29.1,0.035219,0,315,50
1470,29.4,0.035706,0,315,50
1485,29.7,0.037504,0,315,50
1500,30,0.0382465,0,315,50
1515,30.3,0.0388343,0,315,50
1530,30.6,0.0397088,0,315,50
1545,30.9,0.0399198,0,315,50
1560,31.2,0.041442,0,315,50
1575,31.5,0.0411755,0,315,50
1590,31.8,0.0424005,0,315,50
1605,32.1,0.040728,0,315,50
1620,32.4,0.0401837,0,315,50
1635,32.7,0.0403113,0,315,50
1650,33,0.0358945,0,315,50
1665,33.3,0.0338173,0,315,50
1680,33.6,0.0324263,0,315,50
1695,33.9,0.0312575,0,315,50
1710,34.2,0.0306835,0,315,50
1725,34.5,0.0297778,0,315,50
1740,34.8,0.029524,0,315,50
1755,35.1,0.0274993,0,315,50
1770,35.4,0.0267202,0,315,50
1785,35.7,0.0274865,0,315,50
1800,36,0.026409,0,315,50
1815,36.3,0.0258522,0,315,50
1830,36.6,0.0248995,0,315,50
1845,36.9,0.024097,0,315,50
1860,37.2,0.0242698,0,315,50
1875,37.5,0.02181,0,315,50
