index,time,delta_freq,event,power,f0
0,0,0.005081,0,146,50
15,0.3,0.00439267,0,146,50
30,0.6,0.00479433,0,146,50
45,0.9,0.00546167,0,146,50
60,1.2,0.00674133,0,146,50
75,1.5,0.00803833,0,146,50
90,1.8,0.008906,0,146,50
105,2.1,0.010622,0,146,50
120,2.4,0.0116403,0,146,50
135,2.7,0.014813,0,146,50
150,3,0.013352,0,146,50
165,3.3,0.0150943,0,146,50
180,3.6,0.017696,0,146,50
195,3.9,0.019664,0,146,50
210,4.2,0.0232447,0,146,50
225,4.5,0.0249367,0,146,50
240,4.8,0.0284057,0,146,50
255,5.1,0.029928,0,146,50
270,5.4,0.03158,0,146,50
285,5.7,0.0338323,0,146,50
300,6,0.0352893,0,146,50
315,6.3,0.0365937,0,146,50
330,6.6,0.0385937,0,146,50
345,6.9,0.0371743,0,146,50
360,7.2,0.0368703,0,146,50
375,7.5,0.036382,0,146,50
390,7.8,0.0385357,0,146,50
405,8.1,0.0391417,0,146,50
420,8.4,0.040894,0,146,50
435,8.7,0.041065,0,146,50
450,9,0.0420833,0,146,50
465,9.3,0.0414763,0,146,50
480,9.6,0.0431293,0,146,50
495,9.9,0.0435747,0,146,50
510,10.2,0.0439463,0,146,50
525,10.5,0.045756,0,146,50
540,10.8,0.0449177,0,146,50
555,11.1,0.0458277,0,146,50
570,11.4,0.043367,0,146,50
585,11.7,0.042562,0,146,50
600,12,0.043163,0,146,50
615,12.3,0.0429247,0,146,50
630,12.6,0.043201,0,146,50
645,12.9,0.042648,0,146,50
660,13.2,0.0424413,0,146,50
675,13.5,0.0415207,0,146,50
690,13.8,0.0426233,0,146,50
705,14.1,0.0426727,0,146,50
720,14.4,0.0410123,0,146,50
735,14.7,0.040177,0,146,50
750,15,0.0400043,0,146,50
765,15.3,0.039646,0,146,50
780,15.6,0.0401127,0,146,50
795,15.9,0.0380497,0,146,50
810,16.2,0.0384997,0,146,50
825,16.5,0.0380857,0,146,50
840,16.8,0.0378973,0,146,50
855,17.1,0.0390067,0,146,50
870,17.4,0.038303,0,146,50
885,17.7,0.038843,0,146,50
900,18,0.038173,0,146,50
915,18.3,0.0388233,0,146,50
930,18.6,0.039474,0,146,50
945,18.9,0.0389397,0,146,50
960,19.2,0.0383353,0,146,50
975,19.5,0.0376077,0,146,50
990,19.8,0.037247,0,146,50
1005,20.1,0.036913,0,146,50
1020,20.4,0.0364857,0,146,50
1035,20.7,0.0357107,0,146,50
1050,21,0.03259,0,146,50
1065,21.3,0.028935,0,146,50
1080,21.6,0.0276083,0,146,50
1095,21.9,0.0248997,0,146,50
1110,22.2,0.0229817,0,146,50
1125,22.5,0.0205637,0,146,50
1140,22.8,0.020365,0,146,50
1155,23.1,0.0197747,0,146,50
1170,23.4,0.018237,0,146,50
1185,23.7,0.0169287,0,146,50
1200,24,0.0158067,0,146,50
1215,24.3,0.0138203,0,146,50
1230,24.6,0.0123193,0,146,50
1245,24.9,0.00971567,0,146,50
1260,25.2,0.00579833,0,146,50
1275,25.5,0.00300133,0,146,50
1290,25.8,0.001129,0,146,50
1305,26.1,0.000115333,0,146,50
1320,26.4,-0.00283933,0,146,50
1335,26.7,-0.00289033,0,146,50
1350,27,-0.00501667,0,146,50
1365,27.3,-0.00568767,0,146,50
1380,27.6,-0.00627167,0,146,50
1395,27.9,-0.00716233,0,146,50
1410,28.2,-0.00517867,0,146,50
1425,28.5,-0.005992,0,146,50
1440,28.8,-0.004847,0,146,50
1455,29.1,-0.003643,0,146,50
1470,29.4,-0.002453,0,146,50
1485,29.7,-0.000747333,0,146,50
1500,30,0.00174367,0,146,50
1515,30.3,0.00308733,0,146,50
1530,30.6,0.004555,0,146,50
1545,30.9,0.00459533,0,146,50
1560,31.2,0.00511133,0,146,50
1575,31.5,0.00669667,0,146,50
1590,31.8,0.00820033,0,146,50
1605,32.1,0.0100367,0,146,50
1620,32.4,0.01191,0,146,50
1635,32.7,0.013139,0,146,50
1650,33,0.0146137,0,146,50
1665,33.3,0.016546,0,146,50
1680,33.6,0.0182547,0,146,50
1695,33.9,0.0186753,0,146,50
1710,34.2,0.021063,0,146,50
1725,34.5,0.0233443,0,146,50
1740,34.8,0.0247953,0,146,50
1755,35.1,0.0243133,0,146,50
1770,35.4,0.022449,0,146,50
1785,35.7,0.0207887,0,146,50
1800,36,0.020896,0,146,50
1815,36.3,0.0198393,0,146,50
1830,36.6,0.0204397,0,146,50
1845,36.9,0.0232703,0,146,50
1860,37.2,0.0249743,0,146,50
1875,37.5,0.0258367,0,146,50
1890,37.8,0.0277643,0,146,50
1905,38.1,0.029985,0,146,50
1920,38.4,0.0301607,0,146,50
1935,38.7,0.0346937,0,146,50
1950,39,0.0355923,0,146,50
1965,39.3,0.0387613,0,146,50
1980,39.6,0.041617,0,146,50
1995,39.9,0.0443267,0,146,50
2010,40.2,0.0461053,0,146,50
2025,40.5,0.0486357,0,146,50
2040,40.8,0.0507997,0,146,50
2055,41.1,0.0533807,0,146,50
2070,41.4,0.0529903,0,146,50
2085,41.7,0.0544207,0,146,50
2100,42,0.0561643,0,146,50
2115,42.3,0.0562863,0,146,50
2130,42.6,0.058467,0,146,50
2145,42.9,0.060952,0,146,50
2160,43.2,0.063586,0,146,50
2175,43.5,0.0658297,0,146,50
2190,43.8,0.068286,0,146,50
2205,44.1,0.0712827,0,146,50
2220,44.4,0.0736337,0,146,50
2235,44.7,0.075369,0,146,50
2250,45,0.0774033,0,146,50
2265,45.3,0.0804067,0,146,50
2280,45.6,0.080727,0,146,50
2295,45.9,0.081265,0,146,50
2310,46.2,0.0792507,0,146,50
2325,46.5,0.0815897,0,146,50
2340,46.8,0.0823017,0,146,50
2355,47.1,0.0851707,0,146,50
2370,47.4,0.084077,0,146,50
2385,47.7,0.0853983,0,146,50
2400,48,0.0834263,0,146,50
2415,48.3,0.0861597,0,146,50
2430,48.6,0.08508,0,146,50
2445,48.9,0.0871577,0,146,50
2460,49.2,0.0848777,0,146,50
2475,49.5,0.086059,0,146,50
2490,49.8,0.086142,0,146,50
2505,50.1,0.0892997,0,146,50
2520,50.4,0.0890303,0,146,50
2535,50.7,0.094619,0,146,50
2550,51,0.0934637,0,146,50
2565,51.3,0.0970933,0,146,50
2580,51.6,0.096366,0,146,50
2595,51.9,0.099897,0,146,50
2610,52.2,0.0964037,0,146,50
2625,52.5,0.0999957,0,146,50
2640,52.8,0.0982327,0,146,50
2655,53.1,0.0986147,0,146,50
2670,53.4,0.099072,0,146,50
2685,53.7,0.097571,0,146,50
2700,54,0.096902,0,146,50
2715,54.3,0.096977,0,146,50
2730,54.6,0.094757,1,146,50
2745,54.9,0.0943543,1,146,50
2760,55.2,0.078781,1,146,50
2775,55.5,0.0639977,1,146,50
2790,55.8,0.044807,1,146,50
2805,56.1,0.025489,1,146,50
2820,56.4,0.00974533,1,146,50
2835,56.7,-0.00625033,1,146,50
2850,57,-0.021673,1,146,50
2865,57.3,-0.03681,1,146,50
2880,57.6,-0.051933,1,146,50
2895,57.9,-0.0645723,1,146,50
2910,58.2,-0.078347,1,146,50
2925,58.5,-0.08871,1,146,50
2940,58.8,-0.0986007,1,146,50
2955,59.1,-0.107577,1,146,50
2970,59.4,-0.119348,1,146,50
2985,59.7,-0.128992,1,146,50
3000,60,-0.138346,1,146,50
3015,60.3,-0.14552,1,146,50
3030,60.6,-0.153117,1,146,50
3045,60.9,-0.159892,1,146,50
3060,61.2,-0.164406,1,146,50
3075,61.5,-0.171819,1,146,50
3090,61.8,-0.174915,1,146,50
3105,62.1,-0.178353,1,146,50
3120,62.4,-0.18007,1,146,50
3135,62.7,-0.18143,1,146,50
3150,63,-0.183909,1,146,50
3165,63.3,-0.185682,1,146,50
3180,63.6,-0.186728,1,146,50
3195,63.9,-0.186029,1,146,50
3210,64.2,-0.185755,1,146,50
3225,64.5,-0.184682,1,146,50
3240,64.8,-0.184167,1,146,50
3255,65.1,-0.183676,1,146,50
3270,65.4,-0.182068,1,146,50
3285,65.7,-0.180247,1,146,50
3300,66,-0.180291,1,146,50
3315,66.3,-0.178745,1,146,50
3330,66.6,-0.177751,1,146,50
3345,66.9,-0.176691,1,146,50
3360,67.2,-0.175154,1,146,50
3375,67.5,-0.174429,1,146,50
3390,67.8,-0.172449,1,146,50
3405,68.1,-0.169985,1,146,50
3420,68.4,-0.169998,1,146,50
3435,68.7,-0.168485,1,146,50
3450,69,-0.168554,1,146,50
3465,69.3,-0.167076,1,146,50
3480,69.6,-0.166316,1,146,50
3495,69.9,-0.165084,1,146,50
3510,70.2,-0.163886,1,146,50
3525,70.5,-0.163242,1,146,50
3540,70.8,-0.16102,1,146,50
3555,71.1,-0.158877,1,146,50
3570,71.4,-0.157064,1,146,50
3585,71.7,-0.156464,1,146,50
3600,72,-0.154399,1,146,50
3615,72.3,-0.15122,1,146,50
3630,72.6,-0.149865,1,146,50
3645,72.9,-0.148515,1,146,50
3660,73.2,-0.146621,1,146,50
3675,73.5,-0.145607,1,146,50
3690,73.8,-0.144863,1,146,50
3705,74.1,-0.142647,1,146,50
3720,74.4,-0.141342,1,146,50
3735,74.7,-0.138909,1,146,50
3750,75,-0.135932,1,146,50
3765,75.3,-0.134037,1,146,50
3780,75.6,-0.131896,1,146,50
3795,75.9,-0.130441,1,146,50
3810,76.2,-0.130119,1,146,50
3825,76.5,-0.12829,1,146,50
3840,76.8,-0.127233,1,146,50
3855,77.1,-0.125799,1,146,50
3870,77.4,-0.125476,1,146,50
